fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
20,lagrangian,0.37969278722934136,0.47117248062015504,0.6695395196677593,0.04433534150951904,0.11320754716981132,1.1129276752471924,2011-11-01,2012-11-02,2013-11-01
21,lagrangian,0.34299872820934446,0.4196829955758527,0.6845247544506348,0.11969784615745008,0.18396226415094338,1.0070852041244507,2012-02-02,2013-02-05,2014-02-04
22,lagrangian,0.23643795170104004,0.22329416400129792,0.8484894166204089,0.32693928284264506,0.23113207547169812,0.8875149488449097,2012-05-03,2013-05-07,2014-05-06
23,lagrangian,0.20522182960345506,0.2541882237004188,0.6912909193666325,0.15996296375010496,0.07075471698113207,0.9265162348747253,2012-08-02,2013-08-06,2014-08-05
24,lagrangian,0.29042409516141404,0.4177998034076016,0.6929921976566676,0.17890104301658594,0.14622641509433962,0.9006770253181458,2012-11-02,2013-11-04,2014-11-03
25,lagrangian,0.37583750111758224,0.4103039606082202,0.5994979840662782,0.09723600157549683,0.10849056603773585,1.0961602926254272,2013-02-05,2014-02-05,2015-02-04
26,lagrangian,0.4395295523512435,0.46059078183575475,0.6017644815352573,0.08153877165955556,0.16037735849056603,1.0996599197387695,2013-05-07,2014-05-07,2015-05-06
27,lagrangian,0.5198672893047231,0.5232630886700654,0.57111189966884,0.06805252581135207,0.2028301886792453,1.0131281614303589,2013-08-06,2014-08-06,2015-08-05
28,lagrangian,0.4582372906009843,0.47510221260221264,0.5767367210758407,0.055907138076746396,0.19339622641509435,1.0813450813293457,2013-11-04,2014-11-04,2015-11-03
29,lagrangian,0.47713911058281916,0.4876710608913999,0.5992562059116213,0.1250491762105288,0.16037735849056603,1.0445966720581055,2014-02-05,2015-02-05,2016-02-04
30,lagrangian,0.3548230110902922,0.3577605670059587,0.6785004039447495,0.12107916505124088,0.19339622641509435,0.9576380252838135,2014-05-07,2015-05-07,2016-05-05
31,lagrangian,0.3868155236576289,0.407332613658924,0.6856144350736156,0.09358623875698573,0.2169811320754717,0.9840177893638611,2014-08-06,2015-08-06,2016-08-04
32,lagrangian,0.3386758574889624,0.4345810757235364,0.6701971533068386,0.0919025853765962,0.12735849056603774,1.0292704105377197,2014-11-04,2015-11-04,2016-11-02
33,lagrangian,0.26662217137045513,0.3296875,0.6786492626839652,0.12872348466949282,0.1320754716981132,1.0668267011642456,2015-02-05,2016-02-05,2017-02-03
34,lagrangian,0.4021832558793917,0.41085896304342906,0.5694310839700807,0.04892107774394217,0.13679245283018868,0.9528930187225342,2015-05-07,2016-05-06,2017-05-05
35,lagrangian,0.27232090869187425,0.29842494374799095,0.5530518691411173,0.10321699761448892,0.04716981132075472,0.9361182451248169,2015-08-06,2016-08-05,2017-08-04
36,lagrangian,0.41925335570469796,0.47417484388938447,0.5053962189005553,0.05781696897717152,0.02358490566037736,0.9369309544563293,2015-11-04,2016-11-03,2017-11-02
37,lagrangian,0.2032828282828283,0.47807637906647804,0.562877233819507,0.07099258507921101,0.0660377358490566,0.9509854316711426,2016-02-05,2017-02-06,2018-02-05
38,lagrangian,0.3731257133420125,0.48632508558979143,0.6005831979372166,0.12416539645530805,0.05660377358490566,0.9860276579856873,2016-05-06,2017-05-08,2018-05-07
39,lagrangian,0.38754102203469293,0.5034811025859619,0.598196732028755,0.14146419450150968,0.04245283018867924,0.9802889227867126,2016-08-05,2017-08-07,2018-08-06
40,lagrangian,0.38360294301190684,0.47378472222222223,0.5848740392821229,0.1396741920233892,0.08962264150943396,0.9199784398078918,2016-11-03,2017-11-03,2018-11-02
