fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
0,lagrangian,0.12280701754385964,0.3835616438356164,0.7849902958314862,0.15947017367456998,0.07547169811320754,1.2671624422073364,2006-10-31,2007-11-01,2008-10-30
1,lagrangian,0.125,0.391304347826087,0.8351938966846585,0.1854076368708006,0.10377358490566038,1.2392449378967285,2007-02-02,2008-02-04,2009-02-02
2,lagrangian,0.14522821576763487,0.4117647058823529,0.7600030381182331,0.10667845284994779,0.08018867924528301,1.3017514944076538,2007-05-04,2008-05-05,2009-05-04
3,lagrangian,0.4403573305307409,0.4628306878306878,0.543646012313033,0.07446517868780755,0.07075471698113207,1.0530195236206055,2007-08-03,2008-08-04,2009-08-03
4,lagrangian,0.5049033714829655,0.5080687830687831,0.5079939004482982,0.05890704404580199,0.06132075471698113,0.9058994054794312,2007-11-01,2008-10-31,2009-10-30
5,lagrangian,0.19165067772482516,0.2627551020408163,0.6115007036142929,0.15032066537740646,0.018867924528301886,0.8581315875053406,2008-02-04,2009-02-03,2010-02-02
6,lagrangian,0.2862051490088279,0.3356528209878009,0.6618668349607315,0.15996970970865707,0.09905660377358491,0.9464332461357117,2008-05-05,2009-05-05,2010-05-04
7,lagrangian,0.44428474290703923,0.4904628626459613,0.5982834059048688,0.07881790091733973,0.12735849056603774,0.9760285019874573,2008-08-04,2009-08-04,2010-08-03
8,lagrangian,0.3701273952868933,0.4052424025250112,0.6802141142489978,0.19549675474704153,0.1179245283018868,0.7966018915176392,2008-10-31,2009-11-02,2010-11-01
9,lagrangian,0.4851410252624716,0.5740788463093216,0.6637652056238568,0.20787314042239122,0.12264150943396226,0.7801350355148315,2009-02-03,2010-02-03,2011-02-01
10,lagrangian,0.38418213608345186,0.41400757992542336,0.7402348594625558,0.24999659889740564,0.1320754716981132,0.8791856169700623,2009-05-05,2010-05-05,2011-05-03
11,lagrangian,0.351599231991673,0.3715669014084507,0.7240012381778833,0.15190996978204574,0.1650943396226415,1.156183123588562,2009-08-04,2010-08-04,2011-08-02
12,lagrangian,0.3617726559611484,0.3811743299211745,0.6607799494361783,0.09625165633192648,0.08490566037735849,1.0437254905700684,2009-11-02,2010-11-02,2011-10-31
13,lagrangian,0.33070916538658474,0.32580599943930477,0.6404291704141654,0.15154845641812248,0.09905660377358491,0.8713110089302063,2010-02-03,2011-02-02,2012-02-01
14,lagrangian,0.16723198498899433,0.23308270676691728,0.7483570909995916,0.22626461641329557,0.04245283018867924,0.9644966125488281,2010-05-05,2011-05-04,2012-05-02
15,lagrangian,0.14952322659622447,0.18601190476190477,0.7865936556076535,0.2728505254911145,0.1320754716981132,0.9738768339157104,2010-08-04,2011-08-03,2012-08-01
16,lagrangian,0.15375325157933856,0.24064883742303095,0.9584776005851512,0.26667810899550926,0.17452830188679244,0.9473500847816467,2010-11-02,2011-11-01,2012-11-01
17,lagrangian,0.2970133769184402,0.3458020723869107,0.7822578724027279,0.16797523235491182,0.14622641509433962,0.9354261755943298,2011-02-02,2012-02-02,2013-02-04
