fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
20,lagrangian,0.3111040095606199,0.3638888888888889,0.688903402634697,0.07522597811031788,0.12264150943396226,1.2150239944458008,2011-11-01,2012-11-02,2013-11-01
21,lagrangian,0.32865003836557816,0.4128942486085343,0.6758707536604822,0.04095457934997453,0.1320754716981132,1.1508489847183228,2012-02-02,2013-02-05,2014-02-04
22,lagrangian,0.29320492241840557,0.3453796412181894,0.6469406670835303,0.06801373060320465,0.0660377358490566,1.1639293432235718,2012-05-03,2013-05-07,2014-05-06
23,lagrangian,0.2885797827903091,0.29420682036732393,0.6557343159483524,0.08135125362817111,0.11320754716981132,1.1736879348754883,2012-08-02,2013-08-06,2014-08-05
24,lagrangian,0.3209084017949556,0.3143771843599825,0.7142574237359653,0.17499166559165635,0.19811320754716982,0.8981513977050781,2012-11-02,2013-11-04,2014-11-03
25,lagrangian,0.34333167835859674,0.41105505745465176,0.6698257400512526,0.17792863395292435,0.13679245283018868,0.8681142926216125,2013-02-05,2014-02-05,2015-02-04
26,lagrangian,0.45008376171333325,0.48574920882579564,0.5651808818290428,0.08004843670997262,0.09905660377358491,1.1119524240493774,2013-05-07,2014-05-07,2015-05-06
27,lagrangian,0.4160825683872018,0.46865179132620993,0.6170596953751782,0.06734409326678713,0.12264150943396226,1.1118369102478027,2013-08-06,2014-08-06,2015-08-05
28,lagrangian,0.4275109425662058,0.4632154882154882,0.6613065469335253,0.15152211298405288,0.14622641509433962,1.0073758363723755,2013-11-04,2014-11-04,2015-11-03
29,lagrangian,0.4217169177123411,0.4280320150659134,0.7065085909884122,0.2167282195438242,0.21226415094339623,0.8180376291275024,2014-02-05,2015-02-05,2016-02-04
30,lagrangian,0.3330884828833323,0.3469319179284617,0.7405327466892639,0.2131086845353176,0.16981132075471697,0.8309407830238342,2014-05-07,2015-05-07,2016-05-05
31,lagrangian,0.38994211305973114,0.39371463668850504,0.7240182266520134,0.1111210411143415,0.1792452830188679,1.0127813816070557,2014-08-06,2015-08-06,2016-08-04
32,lagrangian,0.34981562185719073,0.3932165983877362,0.6988527819204272,0.10956308105741869,0.2028301886792453,1.0382953882217407,2014-11-04,2015-11-04,2016-11-02
33,lagrangian,0.31771805400024883,0.4083333333333333,0.744773631395645,0.18673883133650943,0.09433962264150944,0.9902951121330261,2015-02-05,2016-02-05,2017-02-03
34,lagrangian,0.38692090746961966,0.49816405277570325,0.6033498974961723,0.10606805287616353,0.07075471698113207,0.9977083206176758,2015-05-07,2016-05-06,2017-05-05
35,lagrangian,0.23020272410516313,0.32468659594985533,0.5567848909736837,0.09468578284894916,0.06132075471698113,0.9620602130889893,2015-08-06,2016-08-05,2017-08-04
36,lagrangian,0.26460960458282184,0.4775200713648528,0.5421618138380523,0.040708068950635154,0.04245283018867924,1.1175594329833984,2015-11-04,2016-11-03,2017-11-02
37,lagrangian,0.2811935860677498,0.48797736916548795,0.5473001495428352,0.10340934921878048,0.08490566037735849,1.016736626625061,2016-02-05,2017-02-06,2018-02-05
38,lagrangian,0.3373435664588416,0.46199035169623404,0.6509744933645872,0.2026540407552406,0.04716981132075472,0.9329712986946106,2016-05-06,2017-05-08,2018-05-07
39,lagrangian,0.4094584505018576,0.4954643809680324,0.6336137309468002,0.1983833612410675,0.05188679245283019,1.0605555772781372,2016-08-05,2017-08-07,2018-08-06
40,lagrangian,0.4510993890309747,0.47899305555555555,0.6012412211163555,0.1807244834205914,0.13679245283018868,1.0872141122817993,2016-11-03,2017-11-03,2018-11-02
