fold_id,model,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
0,lagrangian,0.17474880485500816,0.35342465753424657,0.762588131145811,0.1182749186043448,0.1179245283018868,1.2429662942886353,2006-10-31,2007-11-01,2008-10-30
1,lagrangian,0.1300774247682978,0.2851751207729469,0.8782114739207872,0.2724304358724137,0.09433962264150944,1.2591536045074463,2007-02-02,2008-02-04,2009-02-02
2,lagrangian,0.18213250790305585,0.3032628676470588,0.7446240885945877,0.11329404485057777,0.1650943396226415,1.2330577373504639,2007-05-04,2008-05-05,2009-05-04
3,lagrangian,0.1743586807146129,0.2736772486772487,0.8058746928375891,0.18173844377759474,0.08018867924528301,1.2070200443267822,2007-08-03,2008-08-04,2009-08-03
4,lagrangian,0.2728144416886139,0.5526455026455026,0.5977373330798511,0.10481097216897171,0.10377358490566038,1.1561100482940674,2007-11-01,2008-10-31,2009-10-30
5,lagrangian,0.26647936933914795,0.29591836734693877,0.5971054835242774,0.102887985432092,0.07075471698113207,1.0600162744522095,2008-02-04,2009-02-03,2010-02-02
6,lagrangian,0.357642089093702,0.3576463929196254,0.6185560182242628,0.024041972389803278,0.14150943396226415,1.1302481889724731,2008-05-05,2009-05-05,2010-05-04
7,lagrangian,0.33978614997337464,0.3515258215962441,0.600321617734561,0.03818116641380415,0.09905660377358491,1.1202524900436401,2008-08-04,2009-08-04,2010-08-03
8,lagrangian,0.39518392262565405,0.39632468980295066,0.6190520823073618,0.10139892806469557,0.12735849056603774,1.0362745523452759,2008-10-31,2009-11-02,2010-11-01
9,lagrangian,0.3335843400542555,0.352094760785338,0.7369735061137922,0.23564290020947162,0.11320754716981132,1.0450754165649414,2009-02-03,2010-02-03,2011-02-01
10,lagrangian,0.2872523431733958,0.2962253193960511,1.058702686803536,0.4625939942301719,0.15566037735849056,0.7672842741012573,2009-05-05,2010-05-05,2011-05-03
11,lagrangian,0.2977571492820523,0.33997317236753855,0.8062856002108587,0.2382361691602519,0.17452830188679244,1.0693647861480713,2009-08-04,2010-08-04,2011-08-02
12,lagrangian,0.41986906743431873,0.449199281240392,0.6598024245883684,0.12362494393133783,0.13679245283018868,1.002087950706482,2009-11-02,2010-11-02,2011-10-31
13,lagrangian,0.3528483011241632,0.3430093315711482,0.6966781650385842,0.19566182071614152,0.09905660377358491,0.984203040599823,2010-02-03,2011-02-02,2012-02-01
14,lagrangian,0.2310045762058146,0.2455639097744361,0.7787957721744806,0.22634491562283654,0.09433962264150944,1.0474681854248047,2010-05-05,2011-05-04,2012-05-02
15,lagrangian,0.1342789598108747,0.20386904761904762,0.8136785352812418,0.2981151797122239,0.05660377358490566,1.0719220638275146,2010-08-04,2011-08-03,2012-08-01
16,lagrangian,0.15423888332595587,0.213497150997151,0.8924936849236528,0.28338750763118553,0.21226415094339623,1.1129449605941772,2010-11-02,2011-11-01,2012-11-01
17,lagrangian,0.26625991281163697,0.3406865985053991,0.7716341523367122,0.15139231463553202,0.15566037735849056,1.070352554321289,2011-02-02,2012-02-02,2013-02-04
18,lagrangian,0.349997427321842,0.3467985502869224,0.6609830419213821,0.08498252165709305,0.25,1.138236165046692,2011-05-04,2012-05-03,2013-05-06
19,lagrangian,0.3392367893978209,0.37531204906204907,0.786152985771729,0.1940905990455072,0.24056603773584906,1.0337342023849487,2011-08-03,2012-08-02,2013-08-05
20,lagrangian,0.38276277815751497,0.4680232558139535,0.7171713193013244,0.09993544206932678,0.1792452830188679,1.002291202545166,2011-11-01,2012-11-02,2013-11-01
21,lagrangian,0.2665186087061087,0.3028944270015699,0.6551294437834148,0.09474386841478485,0.1179245283018868,1.0230058431625366,2012-02-02,2013-02-05,2014-02-04
22,lagrangian,0.2736877974451032,0.27223182417174907,0.7900027000588766,0.22586028536720457,0.20754716981132076,0.9664146304130554,2012-05-03,2013-05-07,2014-05-06
23,lagrangian,0.19680277349768874,0.2607169253510717,0.6771294234912196,0.12362797103577379,0.04716981132075472,0.9708815217018127,2012-08-02,2013-08-06,2014-08-05
24,lagrangian,0.3364600053504548,0.3626037570991699,0.6184692168578274,0.06930489929069375,0.10377358490566038,0.9948633909225464,2012-11-02,2013-11-04,2014-11-03
25,lagrangian,0.3374563024144614,0.4205569205569205,0.6126455560080297,0.06253773393765302,0.06132075471698113,1.0222468376159668,2013-02-05,2014-02-05,2015-02-04
26,lagrangian,0.4354313499486676,0.49389614145253247,0.5307708681002242,0.11423537149115909,0.10377358490566038,1.08502995967865,2013-05-07,2014-05-07,2015-05-06
